material_id,gnn_embed_0,gnn_embed_1,gnn_embed_2,gnn_embed_3,gnn_embed_4,gnn_embed_5,gnn_embed_6,gnn_embed_7,gnn_embed_8,gnn_embed_9,gnn_embed_10,gnn_embed_11,gnn_embed_12,gnn_embed_13,gnn_embed_14,gnn_embed_15,gnn_embed_16,gnn_embed_17,gnn_embed_18,gnn_embed_19,gnn_embed_20,gnn_embed_21,gnn_embed_22,gnn_embed_23,gnn_embed_24,gnn_embed_25,gnn_embed_26,gnn_embed_27,gnn_embed_28,gnn_embed_29,gnn_embed_30,gnn_embed_31,gnn_embed_32,gnn_embed_33,gnn_embed_34,gnn_embed_35,gnn_embed_36,gnn_embed_37,gnn_embed_38,gnn_embed_39,gnn_embed_40,gnn_embed_41,gnn_embed_42,gnn_embed_43,gnn_embed_44,gnn_embed_45,gnn_embed_46,gnn_embed_47,gnn_embed_48,gnn_embed_49,gnn_embed_50,gnn_embed_51,gnn_embed_52,gnn_embed_53,gnn_embed_54,gnn_embed_55,gnn_embed_56,gnn_embed_57,gnn_embed_58,gnn_embed_59,gnn_embed_60,gnn_embed_61,gnn_embed_62,gnn_embed_63
mp-1524357,-0.2959279,-0.47590396,-0.32259905,0.118835054,0.583119,0.10972168,-0.9644451,-0.09524872,0.87520283,-1.38718,0.021121616,0.5087281,-0.79325813,0.16616578,-0.24300925,-0.3740965,0.37963948,-0.11983251,-1.3291136,0.18959583,0.57842094,0.26468226,-0.20776558,0.18415017,0.07366993,0.028203042,-0.029517004,-0.61770606,0.09981073,0.16050889,0.44832644,-0.6166122,-0.026540885,-0.01735784,-0.36521092,-0.23333716,0.4088972,0.607946,-0.51883525,1.5510029,-0.16177385,0.031899948,2.3935251,0.11209949,0.5160968,-1.0341753,-1.1652275,0.09800138,-0.014732753,1.5743402,1.2795495,-1.2163926,-0.112712264,0.29355544,-0.48910132,-0.76796836,-0.49928978,0.38212565,-0.5756883,-0.3407191,1.103024,1.2130903,-0.12913404,-1.237693
mp-1524551,0.38687068,0.17863639,-0.61085963,0.46686926,0.020459816,0.60026187,-0.7287606,0.45485282,0.5449599,-1.3188012,0.5668746,1.0832627,-0.52907854,0.01803336,0.33398813,0.10451804,1.1352397,-0.22500587,-1.2486207,0.27580324,-0.049444284,-0.5405642,0.7142645,0.60180366,0.19325058,0.80527866,0.30880088,-0.75003624,-0.5548407,-0.49955207,0.39110097,-0.09681755,-0.17973876,-1.0160303,0.3303406,-0.87799406,0.3987566,0.38758636,-0.41489172,-0.15935287,-0.13934076,-0.25599638,2.6119604,0.9802345,-0.3053208,-0.88616973,-0.2278116,-0.26267585,0.5074157,1.3626657,0.9196595,-1.4045194,0.629834,-1.3627065,-0.37372136,-1.0580375,-0.793483,-0.26149172,-0.43866634,-0.1544393,0.04423947,0.9620546,-0.2017401,-0.74738127
mp-1537871,-0.914666,-0.3169041,-0.00064870965,0.49134174,-0.62132573,0.09282289,-0.7924032,0.8541923,-0.04967906,-1.3819159,-0.47919104,0.2638401,-0.6455731,-0.7487964,0.14630249,-0.07429887,2.631649,-0.80816597,-0.44714966,-0.17486537,0.6643489,-0.28494808,0.29725096,0.41789272,0.68196934,-0.26274657,-0.65236384,-1.019116,-0.4118937,-0.22687435,0.5306769,-0.016610643,0.6635838,-0.46222997,0.40512356,0.08300661,0.23277421,-0.2743106,-0.39270818,-0.743562,1.5763024,1.1417631,2.9785511,1.3177066,-0.6656356,-0.9023127,-0.02039493,-0.44641033,0.4100753,1.212274,0.27592582,-1.3560224,0.8016062,-0.8824654,-0.17244639,-1.623889,-0.6527415,0.26263574,-0.019676715,-0.3265742,-0.04993691,0.78127885,0.6560105,-0.89785165
mp-1539317,-0.017436225,-0.71819633,0.055530634,0.6296564,0.32919258,0.37595132,-1.2842625,0.358175,0.5838397,-0.8050443,-0.3379144,1.0107031,-0.89175797,0.15274334,-0.88612366,0.24928023,0.7487822,0.226712,-1.2591188,0.33632207,-0.06485366,-0.32375497,0.84811646,0.58416015,-0.21415575,0.25203145,-0.15775143,-0.5689822,-0.05455372,-0.2752391,0.47069415,-0.7481373,0.04902145,-0.50362605,-0.40777653,-0.8678184,0.8051438,0.7182411,0.004730907,0.62158674,-0.3286266,-0.16811098,2.2309744,0.53704697,0.32267854,-0.5973245,-0.9815278,-0.94794035,0.7564722,-0.51749754,2.030853,-1.1172713,0.6549569,-0.6845097,-0.90741664,-0.86653334,-0.87172234,0.3606386,0.05073423,-0.5558835,0.7427553,1.6044089,0.2333148,-0.34214953
mp-1541458,-0.19249272,-0.8641061,-0.06942586,0.6815036,-0.05293951,0.9494591,-1.1032665,-0.43851396,1.1866034,-1.0692565,-0.105258256,0.43663302,-0.80401856,0.24814194,-0.6384404,-0.46891272,0.372048,0.67922014,-1.2473702,0.24444608,0.07435576,0.14277613,0.18012415,0.7791637,0.29796007,0.2989187,-0.1483984,-0.4111267,0.114053555,0.06419743,0.3720456,-1.2272656,0.08553218,-0.22623128,0.06303059,-0.842777,0.8995896,1.0316151,0.5804875,1.2497752,-0.71937895,-0.50232464,1.067381,0.40402463,-0.03335381,-1.0983183,-0.8201304,0.8539789,-0.007938152,0.25640178,1.6229453,-1.0177208,-0.37973043,-0.01314134,-1.0007415,-0.8569748,0.22480235,-0.3462458,0.01307169,-0.5958671,0.5924259,1.2394118,0.060820416,-0.159418
mp-1542038,-0.8051235,-0.4335509,0.20520756,-0.75177,-0.66786015,0.06580021,0.44675475,-0.5431878,1.3198085,-0.16243234,-1.1266491,-1.1811646,-0.45718774,-0.85129434,-0.21970622,-1.3100516,2.489149,-0.24139962,-0.36624175,0.39212596,0.33744287,0.564484,0.9043231,0.06484883,0.7191039,0.18607658,-0.9246217,-1.2604349,-0.1538857,-0.5904514,-0.23127933,-0.6382957,1.0361725,0.08934401,1.8575548,0.5591798,-0.73662055,-0.2943935,0.1272639,0.2779413,0.63122815,0.8791003,0.58512086,0.4303464,-0.23895475,-0.165435,0.5067164,0.18478616,-0.7149923,0.2022866,-0.4706141,-0.87143344,0.43237352,-0.8193979,-0.12547854,0.10059251,-0.07082658,0.4032157,0.7859595,0.18950741,0.3691919,-0.9642584,0.111710966,1.3433802
mp-1542940,0.07678738,0.259183,-0.33791107,0.18633029,-0.61943316,0.27147335,-0.9503618,-0.3147667,0.69369507,-0.9151585,-0.49973428,-0.746998,-0.52200603,-1.0797033,-0.1685252,-0.8030362,2.6028368,0.044507276,-0.61109114,0.15213655,0.1496655,0.9612212,-0.037950393,1.0823126,-0.07341503,0.48504356,-1.2333939,-0.9814558,-0.41201577,0.19817546,0.28667808,-0.8925631,0.52538216,0.60452896,1.2710752,-0.12642786,-0.247331,0.21662435,1.4111915,-0.4705113,-0.086647816,0.57282436,0.48448032,-0.03498714,-0.4542727,-0.06654379,-0.39583644,0.11314243,-0.6227561,-0.057091538,0.08155694,0.4795879,-0.5704135,-0.8354218,-0.5732446,0.47293586,-0.13925996,-0.1385007,1.3035059,0.2876336,0.9336435,-0.073713906,-0.013925855,0.33982667
mp-1545896,-0.8892711,0.2229979,-0.7032361,-0.18065178,0.07864474,1.3103111,2.2839153,-0.720404,1.0377793,-0.7566734,0.53719914,-0.5853789,-0.33796495,1.0996301,0.572839,-0.32027063,0.010505153,-0.44000974,0.34866402,-0.35555986,0.5746181,-0.29132807,1.3533988,-0.46128872,0.67083144,0.5961028,-0.30059,-0.9209393,-0.00013655279,-0.3834581,-0.13113658,-0.59270966,-0.7471563,-0.71094966,0.74087805,0.6969593,-0.8871235,-0.93684006,-0.24199766,1.0382308,0.35616696,-0.42321327,0.3185933,0.18717527,-0.57262284,-1.1373229,-0.18952411,-0.7801583,-0.43585324,1.2511144,-0.55758023,-0.8883588,-0.12405661,0.32216188,0.07952689,-0.7378142,-1.0908405,-0.40847152,-0.46467856,0.6569218,0.503753,1.7883341,0.23316033,0.6656904
mp-1546032,-0.90251255,-0.5630116,0.35635555,0.11049288,-0.43456626,0.5063996,-1.3252543,0.78605795,0.47555748,0.20730646,-0.20675619,-0.9658065,-0.7841305,-0.90700334,-1.0769498,0.07183609,2.9400542,-1.4731688,-0.2930158,-2.1384566,0.64839697,-0.09513029,0.99833566,0.54581565,1.3226255,-0.072993636,-1.2952802,-1.0757957,-0.40926197,1.3441101,0.7559848,-0.9326504,1.247355,0.68801546,-0.02189502,0.29721797,0.14750475,0.08472719,-0.6736869,-0.35413393,2.3764107,1.2724742,1.4883004,1.567532,-1.2201222,-0.2889955,-0.036572974,-0.5914795,-0.28798363,0.76772326,0.15687643,-1.5521212,0.53915817,-1.3590364,0.86759275,-1.3823353,-0.5543362,-0.09508195,0.4680191,-0.5584076,-0.7320581,0.6261003,0.83554,-0.40483424
mp-1946459,-0.4023551,-0.44022864,0.12641281,-0.3054462,-0.53839344,0.36687726,0.002228093,-0.086154185,1.1163392,0.043418787,-0.5789118,-1.1437379,-0.28436664,-0.58384514,0.07985763,-1.0996578,2.0646226,-0.41308156,-0.4673616,-0.13998404,0.1031286,0.4382673,1.014302,0.05196477,0.65380204,0.44586334,-0.86503696,-1.1504096,-0.26258567,-0.38522047,-0.4876078,-0.6533812,0.7972652,0.06767611,1.4931576,0.43586272,-0.60377955,-0.44580525,-0.13132305,0.2953407,0.5421078,0.4400824,0.5512714,0.6701137,-0.49143714,-0.24629918,0.22803506,-0.10187484,-0.49453625,0.12377485,-0.39971572,-0.8079647,0.27739677,-0.93896407,0.16735193,-0.15466909,-0.27345738,0.2774373,0.56679106,0.29180697,0.5115322,-0.21617952,0.47901893,1.0951124
