material_id,formula,bulk_modulus_voigt,bulk_modulus_reuss,bulk_modulus_vrh,log_bulk_modulus_vrh
mp-1524357,BiPO4,72.933,69.929,71.431,1.85388673008313
mp-1524551,Zn3N2,133.43,131.438,132.434,2.1219994965596563
mp-1537871,Ag2S,34.454,21.95,28.202,1.450279908254263
mp-1539317,Ta2O5,196.156,192.272,194.214,2.2882805330055453
mp-1541458,Mg(ReO4)2,26.689,6.293,16.491,1.217246991685393
mp-1542038,CsSnSe3,15.362,9.886,12.624,1.1011969858653452
mp-1542940,TiTlPS5,11.836,7.779,9.808,0.9915804571743398
mp-1545896,Li2Sb,33.969,33.906,33.938,1.5306862453311942
mp-1546032,Hg,6.294,6.069,6.181,0.7910587435918254
mp-1946459,CsAgBr3,25.511,25.511,25.511,1.4067274827560028
mp-1974948,Na2O,47.27,46.664,46.967,1.671792820667485
mp-1975771,RbAgCl3,31.704,31.491,31.598,1.499659594756
mp-2022604,Ag2Se,32.33,18.175,25.252,1.4022957806553162
mp-2025704,Ag2S,14.088,5.717,9.903,0.995766779049974
mp-2036706,TiCl3,12.288,1.371,6.83,0.8344207036815325
mp-2051619,Cd(HO)2,57.149,57.117,57.133,1.7568870290533465
mp-2220557,Ta2CuO6,146.286,121.193,133.739,2.126258071547405
mp-2224869,CuTeO4,118.098,16.575,67.337,1.8282537637825669
mp-2349989,NbAgO3,133.079,101.5,117.29,2.0692609862847466
mp-2352785,Zn(InS2)2,24.082,1.603,12.842,1.108632665580476
mp-2353328,ZrCl3,12.434,3.287,7.86,0.895422546039408
mp-2356866,PdSeO4,25.707,21.154,23.43,1.3697722885969628
mp-2360071,CuBr2,19.53,5.682,12.606,1.1005773027895962
mp-2362466,GaAs,65.878,64.62,65.249,1.8145738601051866
mp-2362485,LiMg,25.596,25.511,25.554,1.4074588904573924
mp-2362521,Li9Ge4,33.853,33.813,33.833,1.529340508745123
mp-2365577,LiNiS2,73.056,69.53,71.293,1.8530468901517996
mp-2374583,SiO2,89.353,89.351,89.352,1.9511042779299983
mp-2379939,Ca2SiO4,87.995,86.461,87.228,1.9406559149047935
mp-2382752,CaC2,58.58,56.403,57.491,1.759599862841571
mp-2394167,VN,305.263,292.8,299.032,2.4757176655143933
mp-2408760,NaCu2O3,104.401,82.234,93.317,1.9699607684373135
mp-2415538,MgZn,47.704,39.497,43.601,1.63949645003697
mp-2416214,TbSe,60.988,59.976,60.482,1.7816261438457053
mp-2420244,TiO2,92.355,21.368,56.861,1.7548144932486014
mp-2458827,TePdI2,12.577,0.763,6.67,0.8241258339165489
mp-2464440,KAgCl3,31.855,31.855,31.855,1.5031776094180602
mp-2468774,LiCuS,62.815,62.703,62.759,1.7976760149349453
mp-2468815,LiCoS2,81.465,79.664,80.565,1.906146411431181
mp-2468835,Li7B18O,129.656,129.497,129.576,2.1125245691828485
mp-2475638,LiBe,47.216,22.761,34.988,1.543919117853336
mp-2479693,LiCaSn,33.568,32.688,33.128,1.5201952174943216
mp-2479851,Mg3Cu,45.332,44.089,44.71,1.650404669868032
mp-2488451,Fe11MoC4,201.954,200.787,201.371,2.303996926759709
mp-2506699,BaCO3,53.929,45.28,49.604,1.695516698826566
mp-2514049,Tm(CuTe)3,55.08,53.536,54.308,1.734863809329962
mp-2517816,TePb,38.07,36.798,37.434,1.5732662360140068
mp-2525045,Zr2N2O,170.364,150.924,160.644,2.205864509435915
mp-2530518,TePd3,134.527,134.521,134.524,2.1287997723513428
mp-2619703,ZrCuF6,44.954,30.462,37.708,1.5764334984093855
mp-2626703,BaCO3,50.706,49.638,50.172,1.7004614135980396
mp-2629196,Hg,7.626,7.617,7.622,0.8820689444361484
mp-2630414,TaO3,187.237,187.237,187.237,2.2723916740390226
mp-2637304,Al2O3,98.994,79.63,89.312,1.950909814808537
mp-2649045,CsInBr3,21.762,21.762,21.762,1.337698805964078
mp-2650313,Fe2NiSe4,79.809,73.96,76.885,1.8858416187005538
mp-2654140,CaSn2O5,123.541,121.643,122.592,2.0884621303029838
mp-2659898,LiBH4,18.323,16.744,17.533,1.2438562328065057
mp-2661453,Li2H2Pt,49.395,49.339,49.367,1.693436736232442
mp-2665147,MgNb2(PbO3)3,86.803,65.781,76.292,1.882479000104162
mp-2672345,MgCu,80.505,80.329,80.417,1.9053478674768178
mp-2675163,WN2,101.25,100.66,100.955,2.0041278331225048
mp-2677258,PdSO4,28.924,25.832,27.378,1.4374017191563044
mp-2679737,Tl2CS3,7.580999999999999,7.112,7.347,0.8661100398443766
mp-2679804,WN2,121.57,121.557,121.564,2.0848049818763723
mp-2695851,CdHgO2,86.859,67.268,77.064,1.8868515472781084
mp-2717324,CaCO3,77.549,73.195,75.372,1.877210039451698
mp-2717767,Er(CuTe)3,54.401,52.884,53.642,1.7295049618113898
mp-2719342,Ca2SiO4,100.036,98.199,99.117,1.9961481486629742
mp-2720358,NaClO3,25.827,25.827,25.827,1.4120739625375205
mp-2724101,Li2HfO3,133.122,116.265,124.693,2.095842073793675
mp-2724538,LiCuS,30.101,21.205,25.653,1.4091381611538638
mp-2725306,NaCu3O4,73.419,18.261,45.84,1.6612446089593336
mp-2774343,Na3Be,14.383,14.382,14.383,1.1578494804529016
mp-2775197,Rb3Hf,6.057,6.057,6.057,0.7822575736633017
mp-2789384,KMg6Nb,32.154,29.728,30.941,1.4905343458036757
mp-2795318,RbCaCl3,24.034,23.977,24.006,1.3803198017626408
mp-2802611,H3ClO,12.504,3.94,8.222,0.9149774724443309
mp-2803876,AgO,107.404,97.725,102.564,2.010994950006764
mp-2828744,KHfMg6,30.313,28.997,29.655,1.4720979283693536
mp-2828768,SrMg6Zr,35.049,34.023,34.536,1.5382720356482111
mp-2828799,RbMg6Zr,25.985,24.69,25.338,1.4037723318085513
mp-2831205,Cu2S,88.412,86.826,87.619,1.9425982922459433
mp-2831849,RhN2,216.742,211.135,213.938,2.3302879314839373
mp-2831941,Na2CdSnS4,31.254,28.79,30.022,1.4774396206198237
mp-2861134,KMg6Zr,29.444,28.56,29.002,1.4624279482097782
mp-2872104,CdTe,39.319,38.85,39.084,1.5919990046124979
mp-2876153,DyMn2,74.238,74.228,74.233,1.8705970121776134
mp-2880538,Tm3V,51.93,51.93,51.93,1.7154183225950563
mp-2894145,LiMg6Mo,46.566,45.631,46.099,1.6636915045828733
mp-2913080,BiBr3,5.309,1.751,3.53,0.5477747053878226
mp-2929431,HI3,2.688,0.883,1.785,0.251638220448212
mp-2931468,ZrScB24,225.711,225.708,225.71,2.3535508007641215
mp-768197,Li5SbS4,39.444,37.443,38.444,1.5848285685789745
mp-768240,BaY2F8,79.98,77.671,78.825,1.8966639794199422
mp-768241,Dy2Ge2O7,128.495,122.612,125.554,2.0988305533711644
mp-768305,Sr2HfO4,122.783,122.757,122.77,2.0890922558427194
mp-768310,LaBiO3,61.45,53.631,57.541,1.759977405185661
mp-768342,SrNb2O4,148.219,145.812,147.015,2.167361648250781
mp-768358,ScInO3,153.272,150.396,151.834,2.181369033476417
mp-768368,K4I2O,13.624,13.553,13.588,1.1331555381979903
mp-768479,YScO3,153.019,151.242,152.13,2.1822148652675355
mp-768572,YAl3O6,70.487,40.786,55.637,1.7453637043794725
mp-768864,KNdO2,71.421,67.126,69.273,1.8405639959988045
mp-768870,Ca(ClO3)2,23.654,21.101,22.378,1.349821269512391
mp-769096,MnP4,119.654,114.757,117.205,2.0689461392084456
mp-769253,Dy2SeO2,86.121,84.27,85.195,1.9304141072534498
mp-770118,Ba3Ti2O7,89.124,83.313,86.219,1.9356029814383002
mp-770649,Li5NbO5,102.236,97.043,99.64,1.998433718864469
mp-770771,SrSc2O4,141.792,140.342,141.067,2.149425430521949
mp-771055,EuZrO3,154.842,154.842,154.842,2.1898887722010008
mp-771359,Cu2O3,161.174,161.174,161.174,2.2072949843223917
mp-772099,Cd(CuO2)2,131.437,122.941,127.189,2.1044495527756353
mp-773044,LiCuO2,83.32,30.776,57.048,1.7562404234397864
mp-773137,KCaBi,16.126,16.049,16.088,1.2065020575886856
mp-773864,TiSnO4,165.021,162.61,163.816,2.21435631728006
mp-774712,LiCuS,68.081,39.447,53.764,1.730491572421209
