formula,bulk_modulus_voigt,bulk_modulus_reuss,bulk_modulus_vrh,material_id
Mg(ReO4)2,26.689,6.293,16.491,mp-1541458
TiTlPS5,11.836,7.779,9.808,mp-1542940
Ag2S,34.454,21.95,28.202,mp-1537871
CsSnSe3,15.362,9.886,12.624,mp-1542038
Li2Sb,33.969,33.906,33.938,mp-1545896
Cd(HO)2,57.149,57.117,57.133,mp-2051619
CuTeO4,118.098,16.575,67.337,mp-2224869
CuBr2,19.53,5.682,12.606,mp-2360071
Li9Ge4,33.853,33.813,33.833,mp-2362521
Tm(CuTe)3,55.08,53.536,54.308,mp-2514049
PdSO4,28.924,25.832,27.378,mp-2677258
CdHgO2,86.859,67.268,77.064,mp-2695851
Er(CuTe)3,54.401,52.884,53.642,mp-2717767
Li2HfO3,133.122,116.265,124.693,mp-2724101
Na2CdSnS4,31.254,28.79,30.022,mp-2831941
AgO,107.404,97.725,102.564,mp-2803876
BiBr3,5.309,1.751,3.53,mp-2913080
HI3,2.688,0.883,1.785,mp-2929431
BaY2F8,79.98,77.671,78.825,mp-768240
SrNb2O4,148.219,145.812,147.015,mp-768342
Ca(ClO3)2,23.654,21.101,22.378,mp-768870
SrSc2O4,141.792,140.342,141.067,mp-770771
Cd(CuO2)2,131.437,122.941,127.189,mp-772099
KCaBi,16.126,16.049,16.088,mp-773137
PrYMg2,39.202,39.202,39.202,mp-861479
Ho2ZnIn,60.928,60.928,60.928,mp-861600
Pr2TlCd,48.605,48.605,48.605,mp-861594
LiZnAg2,65.489,65.489,65.489,mp-861625
LiSc2Ir,99.243,99.243,99.243,mp-861616
LiMnPd2,102.805,102.805,102.805,mp-861629
Er2TlCd,59.121,59.121,59.121,mp-861628
Tc3Pd,254.21,251.221,252.716,mp-861610
Ti2AlRe,172.0,172.0,172.0,mp-861640
Ti2AlMo,150.337,150.337,150.337,mp-861627
Ti2CoRe,190.189,190.189,190.189,mp-861641
LaHgAu2,69.273,69.273,69.273,mp-861617
Tc3Ru,303.552,303.227,303.39,mp-861630
Ti2AlTc,159.815,159.815,159.815,mp-861637
Ti2CoIr,193.269,193.269,193.269,mp-861639
AcH3,69.171,69.171,69.171,mp-861605
LiLaHg2,44.988,44.988,44.988,mp-861624
LiRh2Pb,125.906,125.906,125.906,mp-861663
Ca2MgTl,28.633,28.633,28.633,mp-861645
LiRu2W,221.989,221.989,221.989,mp-861666
Ti2CrIr,194.37,194.37,194.37,mp-861656
Ti2FeIr,191.953,191.953,191.953,mp-861672
CaLaMg2,29.61,29.61,29.61,mp-861643
LiNdHg2,48.714,48.714,48.714,mp-861660
LiMnPt2,134.07,134.07,134.07,mp-861658
CaMgPb,36.596,36.423,36.51,mp-861738
LiSbPd2,107.809,107.809,107.809,mp-861736
Ac2HgGe,47.445,47.445,47.445,mp-861872
AcI3,4.25,0.852,2.551,mp-861867
AcMgTl2,39.982,39.982,39.982,mp-861735
LiHf2Re,137.66,137.66,137.66,mp-861875
LiGeIr2,206.944,206.944,206.944,mp-861882
LiGaAu2,85.118,85.118,85.118,mp-861900
LiGeAu2,77.804,77.804,77.804,mp-861881
TaTiRu2,234.152,234.152,234.152,mp-861908
TaTiTc2,230.754,230.754,230.754,mp-861912
Ac2CuIr,68.935,68.935,68.935,mp-861883
LiAc2Si,39.953,39.953,39.953,mp-861876
LiGaCu2,86.815,86.815,86.815,mp-861901
CdGaRh2,160.28,160.28,160.28,mp-861909
LiHg2Pd,69.136,69.136,69.136,mp-861896
LiBiPd2,82.613,82.613,82.613,mp-861905
AcCdRh2,93.343,93.343,93.343,mp-861880
LiTmHg2,54.296,54.296,54.296,mp-861933
LiTaRh2,185.431,185.431,185.431,mp-861951
Ca2CdSn,34.346,34.346,34.346,mp-861940
Er2MgAl,57.65,57.65,57.65,mp-861946
TiZnRh2,190.201,190.201,190.201,mp-861961
Ba2AsAu,36.968,36.968,36.968,mp-861937
LiPm2Ge,52.428,52.428,52.428,mp-861955
LiPt3,182.434,182.434,182.434,mp-861931
CaSnRh2,116.199,116.199,116.199,mp-861935
LiPd3,120.749,120.749,120.749,mp-861936
AlFeRh2,193.542,193.542,193.542,mp-861953
LiPm2Ga,41.038,41.038,41.038,mp-861947
LiPm2Ir,73.728,73.728,73.728,mp-861956
Ti2MnBe,153.777,153.777,153.777,mp-861958
LaCdHg2,52.817,52.817,52.817,mp-862262
AlFe2W,238.376,238.376,238.376,mp-862288
BeGaRh2,200.601,200.601,200.601,mp-862291
Ti2MnFe,184.197,184.197,184.197,mp-861983
BeAlRh2,199.23,199.23,199.23,mp-862287
AcHg3,47.016,46.955,46.985,mp-862289
PaO3,252.222,252.197,252.209,mp-861975
ScZn3,79.571,78.441,79.006,mp-862260
Hf2ReIr,213.322,213.322,213.322,mp-861978
PaCdPt2,145.981,145.981,145.981,mp-861974
Ho2TlAg,63.714,63.714,63.714,mp-861993
LiFeRh2,145.894,145.894,145.894,mp-862290
Ho2TlCd,59.723,59.723,59.723,mp-861994
LiBePt2,165.822,165.822,165.822,mp-862316
Sc2NiOs,145.388,145.388,145.388,mp-862361
LiAl2Ni,103.846,103.846,103.846,mp-862318
Sc2NiIr,137.387,137.387,137.387,mp-862360
Sc2CuRu,113.161,113.161,113.161,mp-862338
LiBePd2,124.471,124.471,124.471,mp-862312
LiAlRh2,147.585,147.585,147.585,mp-862297
LiBe2Ir,139.753,139.753,139.753,mp-862377
LiAsRh2,160.442,160.442,160.442,mp-862335
Sc2GaCu,85.089,85.089,85.089,mp-862340
Re3Ni,317.404,316.879,317.142,mp-862604
Sc2AgOs,123.096,123.096,123.096,mp-862431
TaAlRu2,240.988,240.988,240.988,mp-862446
Sc2AlTc,109.061,109.061,109.061,mp-862543
ScSbRu2,181.046,181.046,181.046,mp-862561
LiAcTl2,34.711,34.711,34.711,mp-862549
Sc2AgRu,111.847,111.847,111.847,mp-862473
Sc2AlOs,123.137,123.137,123.137,mp-862486
Re3Pd,299.552,294.623,297.088,mp-862586
ScAlCo2,146.391,146.391,146.391,mp-862602
TaAlOs2,268.452,268.452,268.452,mp-862445
LiY2Al,50.306,50.306,50.306,mp-862555
LiErTl2,43.284,43.284,43.284,mp-862492
Be2PtRh,216.114,216.114,216.114,mp-862600
Sc2AlZn,76.171,76.171,76.171,mp-862548
Re3Pt,327.476,324.428,325.952,mp-862589
LaPbAu2,71.48,71.48,71.48,mp-862663
LiHfIr2,174.685,174.685,174.685,mp-862610
BeRu2W,270.586,270.586,270.586,mp-862622
Ru3W,308.664,308.191,308.427,mp-862655
LiHoTl2,42.546,42.546,42.546,mp-862677
DyGaRh2,141.67,141.67,141.67,mp-862666
BeFe2Si,219.307,219.307,219.307,mp-862669
IrRu3,321.538,321.023,321.281,mp-862620
LiCuPd2,144.978,144.978,144.978,mp-862657
AcAl3,59.02,58.61,58.815,mp-862617
LiCa2Al,29.043,29.043,29.043,mp-862632
LiY2Ru,70.948,70.948,70.948,mp-862673
LaMgZn2,51.066,51.066,51.066,mp-862662
LiAc2Ge,38.715,38.715,38.715,mp-862667
LiCu3,92.465,92.441,92.453,mp-862658
Sc2AgHg,79.681,79.681,79.681,mp-862702
Al2CoRu,185.345,185.345,185.345,mp-862695
TaZn2,151.923,151.849,151.886,mp-862679
LiHf2Os,145.945,145.945,145.945,mp-862684
Ac,24.652,24.645,24.648,mp-862690
BeGeRu2,227.447,227.447,227.447,mp-862713
AlVOs2,270.525,270.525,270.525,mp-862700
DyMgAg2,65.63,65.63,65.63,mp-862680
BeCo2Ge,201.076,201.076,201.076,mp-862706
AlZnIr2,220.942,220.942,220.942,mp-862705
Al2FeCo,179.509,179.509,179.509,mp-862691
Al2IrRh,211.649,211.649,211.649,mp-862694
ScTaOs2,235.29,235.29,235.29,mp-862699
LiAlAu2,97.735,97.735,97.735,mp-862717
Sc2CoIr,137.361,137.361,137.361,mp-862712
Er2MgGe2,75.128,74.941,75.034,mp-862697
Al2PdRu,180.532,180.532,180.532,mp-862715
LiAg3,66.508,66.504,66.506,mp-862716
Sr2CdIn,26.36,26.36,26.36,mp-862720
SrNiSn2,59.811,55.329,57.57,mp-862750
LiGaRh2,148.873,148.873,148.873,mp-862730
LiHgPd2,97.049,97.049,97.049,mp-862737
PrDyMg2,39.675,39.675,39.675,mp-862757
Pm2ZnRu,78.796,78.796,78.796,mp-862728
Pm2ZnPb,54.069,54.069,54.069,mp-862727
LiY2Os,80.346,80.346,80.346,mp-862719
Sr2CdPb,27.344,27.344,27.344,mp-862721
ScTc2W,219.455,219.455,219.455,mp-862725
Pm2ZnSi,64.649,64.649,64.649,mp-862733
PrBS3,53.701,51.763,52.732,mp-862754
PmZn3,65.527,64.388,64.957,mp-862732
Pm2ZnSn,58.086,58.086,58.086,mp-862734
Sr2TlCd,25.727,25.727,25.727,mp-862740
Pm2ZnGe,62.046,62.046,62.046,mp-862742
PrGa3,66.857,66.099,66.478,mp-862756
PrMgZn2,55.055,55.055,55.055,mp-862759
TbMgCd2,54.108,54.108,54.108,mp-862767
PrI3,4.592,0.499,2.5460000000000003,mp-862800
AlSiRu2,230.759,230.759,230.759,mp-862778
Ac2CuGe,54.864,54.864,54.864,mp-862786
FeSiTc2,246.944,246.944,246.944,mp-862790
AlCrRu2,230.931,230.931,230.931,mp-862781
Tc3Os,325.336,324.966,325.151,mp-862779
CaLaAg2,44.205,44.205,44.205,mp-862795
RbAcTe2,36.494,36.494,36.494,mp-862797
PrSnAu2,80.55,80.55,80.55,mp-862805
LiScAu2,82.368,82.368,82.368,mp-862815
PaTlO3,133.398,133.398,133.398,mp-862832
LiPm2Os,74.575,74.575,74.575,mp-862841
CaLaHg2,44.947,44.947,44.947,mp-862846
PmAlCu2,86.005,86.005,86.005,mp-862838
PaPd3,160.138,158.471,159.305,mp-862854
PaZnRu2,175.731,175.731,175.731,mp-862843
PaTiTc2,172.516,172.516,172.516,mp-862831
Ac2NiIr,71.229,71.229,71.229,mp-862849
PmAlAg2,77.247,77.247,77.247,mp-862837
LiPm2Pt,63.715,63.715,63.715,mp-862842
PaAl3,96.073,95.834,95.953,mp-862844
Pa3Si,108.501,108.501,108.501,mp-862861
Pa3Sb,104.598,104.598,104.598,mp-862862
CaPmPd2,67.273,67.273,67.273,mp-862884
CaPmCd2,42.236,42.236,42.236,mp-862881
Pa3Te,105.402,105.402,105.402,mp-862863
Pa3Ge,111.033,111.033,111.033,mp-862864
PmCdHg2,60.32,60.32,60.32,mp-862892
CaPmAu2,66.309,66.309,66.309,mp-862882
CaPmHg2,48.969,48.969,48.969,mp-862883
PmAgAu2,83.952,83.952,83.952,mp-862872
PmAgHg2,66.323,66.323,66.323,mp-862874
LiSc2Os,98.86,98.86,98.86,mp-862887
CaPmZn2,44.865,44.865,44.865,mp-862888
PmCdAu2,79.05,79.05,79.05,mp-862891
PmBiPd2,90.9,90.9,90.9,mp-862880
CaPmPt2,87.525,87.525,87.525,mp-862886
Ti2CoTc,187.175,187.175,187.175,mp-862911
Er2ZnRu,92.632,92.632,92.632,mp-862895
PmCd3,55.77,55.77,55.77,mp-862899
PmCdPt2,108.292,108.292,108.292,mp-862897
LiPmHg2,49.81,49.81,49.81,mp-862927
PmHoMg2,40.038,40.038,40.038,mp-862918
Li2PmIn,38.084,38.084,38.084,mp-862930
Li2PmTl,39.836,39.836,39.836,mp-862934
PmHgAu2,80.514,80.514,80.514,mp-862912
PmMgAg2,60.967,60.967,60.967,mp-862936
PmF3,136.521,135.964,136.242,mp-862901
PmMgHg2,59.195,59.195,59.195,mp-862938
PmCdPd2,90.071,90.071,90.071,mp-862898
PmDyMg2,40.229,40.229,40.229,mp-862902
PmInAg2,71.516,71.516,71.516,mp-862923
LiPmTl2,41.737,41.737,41.737,mp-862928
Li2PmPb,40.01,40.01,40.01,mp-862948
NaPmHg2,43.007,43.007,43.007,mp-862943
PmPd3,117.777,117.777,117.777,mp-862954
CaLaZn2,42.467,42.467,42.467,mp-862962
PmSnAu2,83.851,83.851,83.851,mp-862956
PmAl3,69.142,68.687,68.914,mp-862980
PmTlAg2,65.448,65.448,65.448,mp-862966
Pm2AgGe,64.38,64.38,64.38,mp-862979
NaPmAu2,59.173,59.173,59.173,mp-862942
PmYMg2,39.687,39.687,39.687,mp-862969
NaPmTl2,36.356,36.356,36.356,mp-862949
PmSmMg2,39.146,39.146,39.146,mp-862964
Er2CdIn,60.36,60.36,60.36,mp-862981
Pm2AgIr,86.836,86.836,86.836,mp-862977
InCl3,9.467,1.284,5.376,mp-862983
Pm2AgPt,78.671,78.671,78.671,mp-862989
PmB3,145.258,144.241,144.75,mp-862984
Pm2AgSn,61.036,61.036,61.036,mp-862990
ErMgSn,58.989,58.903,58.946,mp-862993
Pm2CdIn,52.402,52.402,52.402,mp-862996
Pm2CdGe,58.544,58.544,58.544,mp-862994
SmCl3,7.726,0.9,4.313,mp-863026
TbI3,5.577,0.6980000000000001,3.138,mp-863264
ErCl3,8.403,1.326,4.864,mp-863029
SmI3,5.04,0.56,2.8,mp-863028
Sr(MgAs)2,47.65,47.44,47.545,mp-863260
Pm2CuOs,92.175,92.175,92.175,mp-863668
Pm2MgSn,50.105,50.105,50.105,mp-863703
ErMgCd2,54.634,54.634,54.634,mp-863672
