material_id,energy_above_hull,MagpieData minimum Number,MagpieData maximum Number,MagpieData range Number,MagpieData mean Number,MagpieData avg_dev Number,MagpieData mode Number,MagpieData minimum MendeleevNumber,MagpieData maximum MendeleevNumber,MagpieData range MendeleevNumber,MagpieData mean MendeleevNumber,MagpieData avg_dev MendeleevNumber,MagpieData mode MendeleevNumber,MagpieData minimum AtomicWeight,MagpieData maximum AtomicWeight,MagpieData range AtomicWeight,MagpieData mean AtomicWeight,MagpieData avg_dev AtomicWeight,MagpieData mode AtomicWeight,MagpieData minimum MeltingT,MagpieData maximum MeltingT,MagpieData range MeltingT,MagpieData mean MeltingT,MagpieData avg_dev MeltingT,MagpieData mode MeltingT,MagpieData minimum Column,MagpieData maximum Column,MagpieData range Column,MagpieData mean Column,MagpieData avg_dev Column,MagpieData mode Column,MagpieData minimum Row,MagpieData maximum Row,MagpieData range Row,MagpieData mean Row,MagpieData avg_dev Row,MagpieData mode Row,MagpieData minimum CovalentRadius,MagpieData maximum CovalentRadius,MagpieData range CovalentRadius,MagpieData mean CovalentRadius,MagpieData avg_dev CovalentRadius,MagpieData mode CovalentRadius,MagpieData minimum Electronegativity,MagpieData maximum Electronegativity,MagpieData range Electronegativity,MagpieData mean Electronegativity,MagpieData avg_dev Electronegativity,MagpieData mode Electronegativity,MagpieData minimum NsValence,MagpieData maximum NsValence,MagpieData range NsValence,MagpieData mean NsValence,MagpieData avg_dev NsValence,MagpieData mode NsValence,MagpieData minimum NpValence,MagpieData maximum NpValence,MagpieData range NpValence,MagpieData mean NpValence,MagpieData avg_dev NpValence,MagpieData mode NpValence,MagpieData minimum NdValence,MagpieData maximum NdValence,MagpieData range NdValence,MagpieData mean NdValence,MagpieData avg_dev NdValence,MagpieData mode NdValence,MagpieData minimum NfValence,MagpieData maximum NfValence,MagpieData range NfValence,MagpieData mean NfValence,MagpieData avg_dev NfValence,MagpieData mode NfValence,MagpieData minimum NValence,MagpieData maximum NValence,MagpieData range NValence,MagpieData mean NValence,MagpieData avg_dev NValence,MagpieData mode NValence,MagpieData minimum NsUnfilled,MagpieData maximum NsUnfilled,MagpieData range NsUnfilled,MagpieData mean NsUnfilled,MagpieData avg_dev NsUnfilled,MagpieData mode NsUnfilled,MagpieData minimum NpUnfilled,MagpieData maximum NpUnfilled,MagpieData range NpUnfilled,MagpieData mean NpUnfilled,MagpieData avg_dev NpUnfilled,MagpieData mode NpUnfilled,MagpieData minimum NdUnfilled,MagpieData maximum NdUnfilled,MagpieData range NdUnfilled,MagpieData mean NdUnfilled,MagpieData avg_dev NdUnfilled,MagpieData mode NdUnfilled,MagpieData minimum NfUnfilled,MagpieData maximum NfUnfilled,MagpieData range NfUnfilled,MagpieData mean NfUnfilled,MagpieData avg_dev NfUnfilled,MagpieData mode NfUnfilled,MagpieData minimum NUnfilled,MagpieData maximum NUnfilled,MagpieData range NUnfilled,MagpieData mean NUnfilled,MagpieData avg_dev NUnfilled,MagpieData mode NUnfilled,MagpieData minimum GSvolume_pa,MagpieData maximum GSvolume_pa,MagpieData range GSvolume_pa,MagpieData mean GSvolume_pa,MagpieData avg_dev GSvolume_pa,MagpieData mode GSvolume_pa,MagpieData minimum GSbandgap,MagpieData maximum GSbandgap,MagpieData range GSbandgap,MagpieData mean GSbandgap,MagpieData avg_dev GSbandgap,MagpieData mode GSbandgap,MagpieData minimum GSmagmom,MagpieData maximum GSmagmom,MagpieData range GSmagmom,MagpieData mean GSmagmom,MagpieData avg_dev GSmagmom,MagpieData mode GSmagmom,MagpieData minimum SpaceGroupNumber,MagpieData maximum SpaceGroupNumber,MagpieData range SpaceGroupNumber,MagpieData mean SpaceGroupNumber,MagpieData avg_dev SpaceGroupNumber,MagpieData mode SpaceGroupNumber,density,vpa,packing fraction
mp-1524357,0.002346614166667,8.0,83.0,75.0,21.666666666666668,20.444444444444446,8.0,83.0,87.0,4.0,86.16666666666667,1.1111111111111096,87.0,15.9994,208.9804,192.981,50.658627,52.77392433333333,15.9994,54.8,544.4,489.6,180.15,167.13333333333333,54.8,15.0,16.0,1.0,15.666666666666666,0.4444444444444446,16.0,2.0,6.0,4.0,2.833333333333333,1.1111111111111112,2.0,66.0,148.0,82.0,86.5,27.33333333333333,66.0,2.02,3.44,1.42,2.995,0.5933333333333334,3.44,2.0,2.0,0.0,2.0,0.0,2.0,3.0,4.0,1.0,3.6666666666666665,0.4444444444444445,4.0,0.0,10.0,10.0,1.6666666666666667,2.777777777777778,0.0,0.0,14.0,14.0,2.333333333333333,3.888888888888889,0.0,5.0,29.0,24.0,9.666666666666666,6.444444444444444,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,2.333333333333333,0.4444444444444445,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,2.333333333333333,0.4444444444444445,2.0,9.105,32.95,23.845,15.323373015866666,8.291164021155556,9.105,0.0,1.625,1.625,0.2708333333333333,0.4513888888888888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,12.0,10.0,10.333333333333334,2.777777777777777,12.0,6.351490670858067,13.24423409725029,0.3141642548902349
mp-1524551,0.0141351249999992,7.0,30.0,23.0,20.8,11.04,30.0,69.0,82.0,13.0,74.2,6.24,69.0,14.0067,65.38,51.37329999999999,44.83068,24.659184,65.38,63.05,692.68,629.63,440.828,302.2224,692.68,12.0,15.0,3.0,13.2,1.44,12.0,2.0,4.0,2.0,3.2,0.96,4.0,71.0,122.0,51.0,101.6,24.48,122.0,1.65,3.04,1.39,2.206,0.6672,1.65,2.0,2.0,0.0,2.0,0.0,2.0,0.0,3.0,3.0,1.2,1.44,0.0,0.0,10.0,10.0,6.0,4.8,10.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,12.0,7.0,9.2,3.3600000000000003,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.2,1.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.2,1.44,0.0,13.96,14.76875,0.8087499999999999,14.2835,0.3881999999999997,13.96,0.0,6.437,6.437,2.5748,3.0897600000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,194.0,194.0,0.0,194.0,0.0,194.0,6.366349509579641,11.69775377459082,0.5679496723967393
mp-1539317,0.0136054307142874,8.0,73.0,65.0,26.571428571428573,26.53061224489796,8.0,48.0,87.0,39.0,75.85714285714286,15.918367346938776,87.0,15.9994,180.94788,164.94848,63.12753714285714,67.32591020408164,15.9994,54.8,3290.0,3235.2,979.1428571428572,1320.4897959183677,54.8,5.0,16.0,11.0,12.857142857142858,4.489795918367347,16.0,2.0,6.0,4.0,3.142857142857143,1.6326530612244896,2.0,66.0,170.0,104.0,95.71428571428572,42.44897959183673,66.0,1.5,3.44,1.94,2.8857142857142857,0.7918367346938775,3.44,2.0,2.0,0.0,2.0,0.0,2.0,0.0,4.0,4.0,2.857142857142857,1.6326530612244896,4.0,0.0,3.0,3.0,0.8571428571428571,1.2244897959183674,0.0,0.0,14.0,14.0,4.0,5.714285714285714,0.0,6.0,19.0,13.0,9.714285714285714,5.306122448979592,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.4285714285714286,0.8163265306122448,2.0,0.0,7.0,7.0,2.0,2.857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,5.0,3.4285714285714284,2.0408163265306123,2.0,9.105,18.12,9.015,11.680714285714288,3.679591836734695,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,229.0,217.0,74.0,88.57142857142857,12.0,7.564873681773962,13.85690576737179,0.3099433905995438
mp-1541458,0.0,8.0,75.0,67.0,20.545454545454547,19.801652892561982,8.0,54.0,87.0,33.0,79.27272727272727,11.239669421487609,87.0,15.9994,186.207,170.2076,47.70129090909091,50.36571239669421,15.9994,54.8,3459.0,3404.2,752.6727272727272,1015.0876033057853,54.8,2.0,16.0,14.0,13.090909090909092,4.231404958677685,16.0,2.0,6.0,4.0,2.8181818181818183,1.1900826446280992,2.0,66.0,151.0,85.0,88.27272727272727,32.39669421487603,66.0,1.31,3.44,2.13,2.966363636363636,0.6889256198347109,3.44,2.0,2.0,0.0,2.0,0.0,2.0,0.0,4.0,4.0,2.909090909090909,1.586776859504132,4.0,0.0,5.0,5.0,0.9090909090909092,1.487603305785124,0.0,0.0,14.0,14.0,2.5454545454545454,4.1652892561983474,0.0,2.0,21.0,19.0,8.363636363636363,4.595041322314049,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.4545454545454546,0.793388429752066,2.0,0.0,5.0,5.0,0.9090909090909092,1.487603305785124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,2.363636363636364,0.9586776859504134,2.0,9.105,22.89,13.785,11.367272727272727,3.290578512396693,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,194.0,182.0,61.63636363636363,72.19834710743802,12.0,4.878171664296923,16.23761167984238,0.2350736764354405
mp-1542940,0.0,15.0,81.0,66.0,24.75,14.0625,16.0,43.0,88.0,45.0,80.25,10.375,88.0,30.973762,204.3833,173.409538,55.44363275,37.2349168125,32.065,317.3,1941.0,1623.7,597.1375,335.96562500000005,388.36,4.0,16.0,12.0,14.0,2.75,16.0,3.0,6.0,3.0,3.5,0.75,3.0,105.0,160.0,55.0,117.125,17.6875,105.0,1.54,2.58,1.04,2.28125,0.3734375,2.58,2.0,2.0,0.0,2.0,0.0,2.0,0.0,4.0,4.0,3.0,1.25,4.0,0.0,10.0,10.0,1.5,2.25,0.0,0.0,14.0,14.0,1.75,3.0625,0.0,4.0,27.0,23.0,8.25,4.6875,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,2.25,0.875,2.0,0.0,8.0,8.0,1.0,1.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,6.0,3.25,1.625,2.0,16.69,26.91,10.22,24.3880766369,2.378978794649999,25.786875,0.0,2.202,2.202,1.579375,0.7896875,2.202,0.0,2.25333333333e-05,2.25333333333e-05,2.8166666666625e-06,4.929166666659376e-06,0.0,2.0,194.0,192.0,92.5,50.75,70.0,3.4003116472340844,27.075847115106907,0.3017342970260008
mp-1537871,0.0,16.0,47.0,31.0,36.66666666666666,13.77777777777778,47.0,65.0,88.0,23.0,72.66666666666667,10.222222222222223,65.0,32.065,107.8682,75.8032,82.60046666666666,33.690311111111114,107.8682,388.36,1234.93,846.57,952.74,376.2533333333333,1234.93,11.0,16.0,5.0,12.666666666666666,2.222222222222222,11.0,3.0,5.0,2.0,4.333333333333333,0.888888888888889,5.0,105.0,145.0,40.0,131.66666666666666,17.777777777777782,145.0,1.93,2.58,0.6500000000000001,2.1466666666666665,0.2888888888888889,1.93,1.0,2.0,1.0,1.3333333333333333,0.4444444444444444,1.0,0.0,4.0,4.0,1.3333333333333333,1.777777777777778,0.0,0.0,10.0,10.0,6.666666666666667,4.444444444444444,10.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,11.0,5.0,9.333333333333334,2.222222222222222,11.0,0.0,1.0,1.0,0.6666666666666666,0.4444444444444445,1.0,0.0,2.0,2.0,0.6666666666666666,0.888888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.3333333333333333,0.4444444444444444,1.0,16.33,25.786875,9.456875,19.482291666666665,4.203055555555555,16.33,0.0,2.202,2.202,0.734,0.9786666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,225.0,155.0,173.33333333333334,68.88888888888889,225.0,6.675568034223078,20.546761160675874,0.6246460494235542
mp-1542038,0.0,34.0,55.0,21.0,41.4,8.879999999999999,34.0,5.0,89.0,84.0,70.4,26.16,89.0,78.96,132.9054519,53.94545190000001,97.69909038,22.486908456,78.96,301.59,505.08,203.49,457.734,62.45759999999998,494.0,1.0,16.0,15.0,12.6,4.640000000000001,16.0,4.0,6.0,2.0,4.6,0.72,4.0,120.0,244.0,124.0,148.6,38.16,120.0,0.79,2.55,1.7599999999999998,2.08,0.564,2.55,1.0,2.0,1.0,1.8,0.3199999999999999,2.0,0.0,4.0,4.0,2.8,1.44,4.0,0.0,10.0,10.0,8.0,3.2,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16.0,15.0,12.6,4.640000000000001,16.0,0.0,1.0,1.0,0.2,0.32,0.0,0.0,4.0,4.0,2.0,0.8,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,3.0,2.2,0.7200000000000001,2.0,25.92,115.765,89.845,45.362,28.1612,25.92,0.0,0.799,0.799,0.4794,0.38352,0.799,0.0,0.0,0.0,0.0,0.0,0.0,14.0,229.0,215.0,82.4,82.08,14.0,4.477434642764821,36.23350635303901,0.5823565903754001
mp-1546032,0.0082255033333353,80.0,80.0,0.0,80.0,0.0,80.0,71.0,71.0,0.0,71.0,0.0,71.0,200.59,200.59,0.0,200.59,0.0,200.59,234.32,234.32,0.0,234.32,2.8421709430404014e-14,234.32,12.0,12.0,0.0,12.0,0.0,12.0,6.0,6.0,0.0,6.0,0.0,6.0,132.0,132.0,0.0,132.0,0.0,132.0,2.0,2.0,0.0,2.0,0.0,2.0,2.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,10.0,0.0,10.0,14.0,14.0,0.0,14.0,0.0,14.0,26.0,26.0,0.0,26.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.2375862069,25.2375862069,0.0,25.2375862069,0.0,25.2375862069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,166.0,166.0,0.0,166.0,0.0,166.0,11.671125524759733,28.53945243995821,0.4953552269755729
mp-1545896,0.0,3.0,51.0,48.0,19.0,21.33333333333333,3.0,1.0,85.0,84.0,29.0,37.333333333333336,1.0,6.941,121.76,114.819,45.214000000000006,51.03066666666667,6.941,453.69,903.78,450.09,603.7199999999999,200.04,453.69,1.0,15.0,14.0,5.666666666666667,6.222222222222222,1.0,2.0,5.0,3.0,3.0,1.3333333333333333,2.0,128.0,139.0,11.0,131.66666666666666,4.888888888888886,128.0,0.98,2.05,1.0699999999999998,1.336666666666667,0.4755555555555555,0.98,1.0,2.0,1.0,1.3333333333333333,0.4444444444444444,1.0,0.0,3.0,3.0,1.0,1.3333333333333333,0.0,0.0,10.0,10.0,3.333333333333333,4.444444444444445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,15.0,14.0,5.666666666666667,6.222222222222222,1.0,0.0,1.0,1.0,0.6666666666666666,0.4444444444444444,1.0,0.0,3.0,3.0,1.0,1.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,1.6666666666666667,0.8888888888888888,1.0,16.5933333333,31.56,14.9666666667,21.5822222222,6.651851851866667,16.5933333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,166.0,229.0,63.0,208.0,28.0,229.0,3.8524559878980025,19.488766048983265,0.6552518772081588
mp-1946459,0.0024982199999996,35.0,55.0,20.0,41.4,7.68,35.0,5.0,95.0,90.0,71.0,28.8,95.0,79.904,132.9054519,53.001451900000006,96.09713038,19.431756456,79.904,265.8,1234.93,969.13,466.784,307.25840000000005,265.8,1.0,17.0,16.0,12.6,5.279999999999999,17.0,4.0,6.0,2.0,4.6,0.72,4.0,120.0,244.0,124.0,149.8,37.68000000000001,120.0,0.79,2.96,2.17,2.3199999999999994,0.7680000000000001,2.96,1.0,2.0,1.0,1.6,0.48,2.0,0.0,5.0,5.0,3.0,2.4,5.0,0.0,10.0,10.0,8.0,3.2,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,17.0,16.0,12.6,5.279999999999999,17.0,0.0,1.0,1.0,0.4,0.4800000000000001,0.0,0.0,1.0,1.0,0.6,0.4800000000000001,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,16.33,115.765,99.435,44.107,28.6632,29.48,0.0,1.457,1.457,0.8742000000000001,0.6993600000000001,1.457,0.0,0.0,0.0,0.0,0.0,0.0,64.0,229.0,165.0,129.2,78.24,64.0,5.01277621381123,31.83326615846773,0.6904182541571393
