material_id,bulk_modulus_vrh
mp-1537871,28.202
mp-1541458,16.491
mp-1542038,12.624
mp-1542940,9.808
mp-1545896,33.938
mp-2051619,57.133
mp-2224869,67.337
mp-2360071,12.606
mp-2362521,33.833
mp-2514049,54.308
mp-2677258,27.378
mp-2695851,77.064
mp-2717767,53.642
mp-2724101,124.693
mp-2803876,102.564
mp-2831941,30.022
mp-2913080,3.53
mp-2929431,1.785
mp-768240,78.825
mp-768342,147.015
mp-768870,22.378
mp-770771,141.067
mp-772099,127.189
mp-773137,16.088
mp-861479,39.202
mp-861594,48.605
mp-861600,60.928
mp-861605,69.171
mp-861610,252.716
mp-861616,99.243
mp-861617,69.273
mp-861624,44.988
mp-861625,65.489
mp-861627,150.337
mp-861628,59.121
mp-861629,102.805
mp-861630,303.39
mp-861637,159.815
mp-861639,193.269
mp-861640,172.0
mp-861641,190.189
mp-861643,29.61
mp-861645,28.633
mp-861656,194.37
mp-861658,134.07
mp-861660,48.714
mp-861663,125.906
mp-861666,221.989
mp-861672,191.953
mp-861735,39.982
mp-861736,107.809
mp-861738,36.51
mp-861867,2.551
mp-861872,47.445
mp-861875,137.66
mp-861876,39.953
mp-861880,93.343
mp-861881,77.804
mp-861882,206.944
mp-861883,68.935
mp-861896,69.136
mp-861900,85.118
mp-861901,86.815
mp-861905,82.613
mp-861908,234.152
mp-861909,160.28
mp-861912,230.754
mp-861931,182.434
mp-861933,54.296
mp-861935,116.199
mp-861936,120.749
mp-861937,36.968
mp-861940,34.346
mp-861946,57.65
mp-861947,41.038
mp-861951,185.431
mp-861953,193.542
mp-861955,52.428
mp-861956,73.728
mp-861958,153.777
mp-861961,190.201
mp-861974,145.981
mp-861975,252.209
mp-861978,213.322
mp-861983,184.197
mp-861993,63.714
mp-861994,59.723
mp-862260,79.006
mp-862262,52.817
mp-862287,199.23
mp-862288,238.376
mp-862289,46.985
mp-862290,145.894
mp-862291,200.601
mp-862297,147.585
mp-862312,124.471
mp-862316,165.822
mp-862318,103.846
mp-862335,160.442
