model,seed,RMSE,MAE,R2
Magpie,42,0.12964042820594765,0.07677572368990525,0.8838068769590453
Magpie,123,0.13022855133700606,0.07770489575473905,0.8827502487210992
Magpie,456,0.13050030428319373,0.07923047184336177,0.8822603989936415
Magpie,789,0.13220948158318915,0.07818965232393552,0.8791561047627826
Magpie,2024,0.1293295839357288,0.07510032046091004,0.8843634111553107
raw Hybrid,42,0.09913483668458604,0.05540091659433722,0.9320558449615498
raw Hybrid,123,0.10246226759218365,0.057592145724007365,0.9274182496625925
raw Hybrid,456,0.1058144655668588,0.05954803047618617,0.9225913315899118
raw Hybrid,789,0.10301625738331167,0.05945453834185237,0.9266312623837978
raw Hybrid,2024,0.0993393825393277,0.0578931695959112,0.9317751760593564
GNN,42,0.10300470166649878,0.06448613852262497,0.9266477227210999
GNN,123,0.09653097332476047,0.05734643712639809,0.9355782270431519
GNN,456,0.10467407403797847,0.061516884714365005,0.9242508411407471
GNN,789,0.09796045130545059,0.05901915952563286,0.9336560964584351
GNN,2024,0.10428902225006376,0.060935333371162415,0.9248071312904358
