model,seed,subgroup,n,mae,rmse
Magpie,42,bottom_20pct_lowK,298,0.14598196336003144,0.22159598920483126
Magpie,42,middle_60pct,892,0.0596411686436995,0.08889662773661491
Magpie,42,top_20pct_highK,298,0.058858152144663355,0.1056448334498655
Magpie,42,extreme_low_K_(<3.0GPa),5,0.5842466534502945,0.667352430948865
Magpie,123,bottom_20pct_lowK,298,0.14586589851842605,0.22795168547656483
Magpie,123,middle_60pct,892,0.05932728163745078,0.08388811614469835
Magpie,123,top_20pct_highK,298,0.06455339565085452,0.10796835910653046
Magpie,123,extreme_low_K_(<3.0GPa),5,0.5964837684151616,0.6579271480575869
Magpie,456,bottom_20pct_lowK,298,0.14249717249118776,0.22452914194007387
Magpie,456,middle_60pct,892,0.06364371014661518,0.09142799237065947
Magpie,456,top_20pct_highK,298,0.06261944714687116,0.09799429485045849
Magpie,456,extreme_low_K_(<3.0GPa),5,0.5912191353301195,0.6641439296315761
Magpie,789,bottom_20pct_lowK,298,0.14551254979964945,0.2287231011321066
Magpie,789,middle_60pct,892,0.06078637282782279,0.09143873760525091
Magpie,789,top_20pct_highK,298,0.06295979280302878,0.0996902865549419
Magpie,789,extreme_low_K_(<3.0GPa),5,0.6902076094818369,0.7487411397392802
Magpie,2024,bottom_20pct_lowK,298,0.14345560640845917,0.22523451445694517
Magpie,2024,middle_60pct,892,0.05818479102226284,0.0879712718524147
Magpie,2024,top_20pct_highK,298,0.057378095786090134,0.09809673354665734
Magpie,2024,extreme_low_K_(<3.0GPa),5,0.5033707474419915,0.5840761429703685
raw Hybrid,42,bottom_20pct_lowK,298,0.10576466793831582,0.17641927436275845
raw Hybrid,42,middle_60pct,892,0.045591973708502584,0.0720491905846642
raw Hybrid,42,top_20pct_highK,298,0.034398162076413975,0.04909626199602578
raw Hybrid,42,extreme_low_K_(<3.0GPa),5,0.5428807792841226,0.626319913333912
raw Hybrid,123,bottom_20pct_lowK,298,0.1095435787671323,0.1822775977929467
raw Hybrid,123,middle_60pct,892,0.04849642717858061,0.07552106080495954
raw Hybrid,123,top_20pct_highK,298,0.03286682322625379,0.0460975605130592
raw Hybrid,123,extreme_low_K_(<3.0GPa),5,0.5782223918778575,0.6794467441381586
raw Hybrid,456,bottom_20pct_lowK,298,0.11396265856806817,0.18829754450183953
raw Hybrid,456,middle_60pct,892,0.049844827664158806,0.07783058103698402
raw Hybrid,456,top_20pct_highK,298,0.034177888653862565,0.048168991072575135
raw Hybrid,456,extreme_low_K_(<3.0GPa),5,0.6056216804752816,0.705224360796436
raw Hybrid,789,bottom_20pct_lowK,298,0.10448850341546138,0.17679223542716158
raw Hybrid,789,middle_60pct,892,0.05211610147511006,0.08040997434077546
raw Hybrid,789,top_20pct_highK,298,0.03638663261433108,0.04879682947605794
raw Hybrid,789,extreme_low_K_(<3.0GPa),5,0.6049243131849407,0.6737172823659822
raw Hybrid,2024,bottom_20pct_lowK,298,0.10513101959825415,0.17129744668570074
raw Hybrid,2024,middle_60pct,892,0.049693559624477385,0.0765768267570069
raw Hybrid,2024,top_20pct_highK,298,0.03519911856846404,0.04878364145193691
raw Hybrid,2024,extreme_low_K_(<3.0GPa),5,0.5108259736976775,0.5848748822563907
GNN,42,bottom_20pct_lowK,298,0.1110582578702261,0.17140750500303842
GNN,42,middle_60pct,892,0.05649878198255873,0.0824774544564453
GNN,42,top_20pct_highK,298,0.04182250507725965,0.056887269903266285
GNN,42,extreme_low_K_(<3.0GPa),5,0.4434599936008453,0.5429568691420545
GNN,123,bottom_20pct_lowK,298,0.10139475802847203,0.1604193105071339
GNN,123,middle_60pct,892,0.0518312055968383,0.07936687882992843
GNN,123,top_20pct_highK,298,0.02980679433617816,0.04403654979846934
GNN,123,extreme_low_K_(<3.0GPa),5,0.36728273034095765,0.4650437110859762
GNN,456,bottom_20pct_lowK,298,0.11522732015024095,0.1840491933340886
GNN,456,middle_60pct,892,0.05325670453465038,0.07896595104564129
GNN,456,top_20pct_highK,298,0.032531556667097464,0.04659028681595278
GNN,456,extreme_low_K_(<3.0GPa),5,0.49383309483528137,0.6300627544011755
GNN,789,bottom_20pct_lowK,298,0.10231059799658372,0.15812288001173522
GNN,789,middle_60pct,892,0.05300148680071125,0.08325954881757447
GNN,789,top_20pct_highK,298,0.03374036806541801,0.04651954205093844
GNN,789,extreme_low_K_(<3.0GPa),5,0.35474169850349424,0.4431521193379614
GNN,2024,bottom_20pct_lowK,298,0.11662671680018406,0.18802970444377184
GNN,2024,middle_60pct,892,0.05195598551510695,0.07526352564943106
GNN,2024,top_20pct_highK,298,0.03212171672974657,0.04468851571103263
GNN,2024,extreme_low_K_(<3.0GPa),5,0.6024950802326202,0.7231721193984176
