seed,rmse,mae,r2,model
0,0.10212642815296215,0.062236438626226784,0.9278932706968646,baseline_comp_density
1,0.10308546876278457,0.0626021171385796,0.926532643826335,baseline_comp_density
2,0.09927424429746319,0.05944941969447051,0.9318646186944476,baseline_comp_density
3,0.09556395988081746,0.056801021193632985,0.9368624412355587,baseline_comp_density
4,0.09764402094153751,0.06018814145728421,0.9340840035756444,baseline_comp_density
0,0.09760359076522475,0.05453919820523108,0.9341385782152747,pca_hybrid
1,0.09638782831564721,0.05592007429141444,0.9357691155847273,pca_hybrid
2,0.10126775826183397,0.055954223919279074,0.9291007071446172,pca_hybrid
3,0.09951040730547046,0.056911276113293566,0.9315400592645114,pca_hybrid
4,0.10010340314774575,0.05700000240110492,0.9307217042563792,pca_hybrid
