model,seed,RMSE,MAE,R2
Magpie,42,0.12964042820594765,0.07677572368990525,0.8838068769590453
Magpie,123,0.13022855133700606,0.07770489575473905,0.8827502487210992
Magpie,456,0.13050030428319373,0.07923047184336177,0.8822603989936415
Magpie,789,0.13220948158318915,0.07818965232393552,0.8791561047627826
Magpie,2024,0.1293295839357288,0.07510032046091004,0.8843634111553107
raw Hybrid,42,0.09913483668458604,0.05540091659433722,0.9320558449615498
raw Hybrid,123,0.10246226759218365,0.057592145724007365,0.9274182496625925
raw Hybrid,456,0.1058144655668588,0.05954803047618617,0.9225913315899118
raw Hybrid,789,0.10301625738331167,0.05945453834185237,0.9266312623837978
raw Hybrid,2024,0.0993393825393277,0.0578931695959112,0.9317751760593564
GNN,42,0.09943365042719877,0.06074586510658264,0.9316456317901611
GNN,123,0.09480663729793574,0.05893735960125923,0.9378591775894165
GNN,456,0.10527629866100238,0.060899730771780014,0.923376739025116
GNN,789,0.0987299214469614,0.05948009341955185,0.9326097369194031
GNN,2024,0.10474475302079127,0.06210080161690712,0.9241484999656677
